guid,sentence,translation,freq ranks,audio,tags
C9is_{9:=2,Jeg kan ikke.,I can't.,[ 11 13 5 ], [sound:googletts-97cd9aaa-9db549cd-c462ed25-ee20d34e-474be658.mp3],CardType::Sentence
nNoJ}G.+_&,Hun elsker ham.,She loves him.,[ 39 57 47 ], [sound:googletts-e7406c73-69436663-668d5ebb-05bf31c2-10da627d.mp3],CardType::Sentence
kbrVH4V/OG,Jeg ved det ikke.,I don't know.,[ 11 26 12 5 ], [sound:googletts-f0589100-0188e053-c5aeaac1-6b0bb486-3ea09a60.mp3],CardType::Sentence
yFzaOV?)TZ,Er det det han vil?,Is that what he wants?,[ 1 12 12 23 20 ], [sound:googletts-ba780891-22677bff-f93099d0-77efe955-f0c2d31e.mp3],CardType::Sentence
vlD(y*po6k,Det er mig.,It's me.,[ 12 1 19 ], [sound:googletts-c8bacc6d-921e0b51-5d41c6f3-4294dcf6-64788e88.mp3],CardType::Sentence
i.KA7_vBW&,Hun taler meget.,She talks a lot.,[ 39 49 29 ], [sound:googletts-8667a417-14443e64-b7caa456-0e3e8249-1bf61772.mp3],CardType::Sentence
he<zFbXgpY,Jeg så dig.,I saw you.,[ 11 21 31 ], [sound:googletts-5784e8c2-70b8af61-ebeafc36-028f6b63-e7c6723b.mp3],CardType::Sentence
g~Tv^~Oy}E,Han kan lide dig!,He likes you!,[ 23 13 33 31 ], [sound:googletts-689bc163-dfd14701-1c0a156e-e847818e-6b0369f9.mp3],CardType::Sentence
FRQ9@!]@KC,Det er for meget!,That's too much!,[ 12 1 10 29 ], [sound:googletts-489f1e7f-03aa9007-8229f74b-920398e3-963c3865.mp3],CardType::Sentence
tI)ltd?/$G,Jeg ved ikke.,I don't know.,[ 11 26 5 ], [sound:googletts-a5132b2c-1201beef-142668eb-388bb655-a1d3cbfe.mp3],CardType::Sentence
"v,_0)t>E]R",Han ved det ikke.,He does not know.,[ 23 26 12 5 ], [sound:googletts-15dc37fa-6aba3e49-05be61f5-45d11e9e-d9c82565.mp3],CardType::Sentence
qVseNG4KE7,Hun kan lide dig!,She likes you!,[ 39 13 33 31 ], [sound:googletts-ace3093b-0bdc0b53-9ed06bae-494df2e6-bbec71c0.mp3],CardType::Sentence
vkhg5V4bS{,Kan du lide det?,Like it?,[ 13 7 33 12 ], [sound:googletts-f04a5f47-3aea7c9d-a1e2baad-7f34a2a9-a6d6d5fe.mp3],CardType::Sentence
bqwq.gBi=6,Du kan ikke lide mig.,You don't like me.,[ 7 13 5 33 19 ], [sound:googletts-e3404786-a4fd0e2c-a44daf0e-73490009-c03aad96.mp3],CardType::Sentence
JXXax.*2x.,Og hvad så?,So what?,[ 16 38 21 ], [sound:googletts-22ae0552-89f66731-70014049-7a4d18c8-4f5bc7bf.mp3],CardType::Sentence
zi:dwc$~6|,I kan ikke lide mig.,You don't like me.,[ 4 13 5 33 19 ], [sound:googletts-0fd6586c-d52fbd1b-42f14ba0-dd4e682d-293807ba.mp3],CardType::Sentence
HA&Nv[>ntI,Er det det hun vil?,Is that what she wants?,[ 1 12 12 39 20 ], [sound:googletts-1fcfd1c5-9ebd1b04-32126aa8-14d212c9-150b9046.mp3],CardType::Sentence
l4SC`ad>jn,Er det din?,Is it yours?,[ 1 12 30 ], [sound:googletts-ed813a0e-b1eb78ee-bc06561b-6bd3ffbe-235a432c.mp3],CardType::Sentence
EW]X%*rw+O,Hvad så du?,What did you see?,[ 38 21 7 ], [sound:googletts-a39d7c82-2719c239-b1f9a176-785e7ba7-99eb6af6.mp3],CardType::Sentence
y-%rDcrdW5,Hvad vil du?,What do you want?,[ 38 20 7 ], [sound:googletts-3c06d8f9-8ff42dc3-563282ea-08cb0df7-efc3abd3.mp3],CardType::Sentence
n`^`X$p;du,Jeg ved ikke hvad det er.,I don't know what it is.,[ 11 26 5 38 12 1 ], [sound:googletts-a5881f49-5ccb1d76-03782ce7-b0fb397c-17a664c9.mp3],CardType::Sentence
jx-DJvq$v7,Den er der.,It is there.,[ 24 1 28 ], [sound:googletts-c93ededc-d048b875-6290c001-1ba35feb-0363de45.mp3],CardType::Sentence
vnpW5dy{w<,Hvad ved du?,What do you know?,[ 38 26 7 ], [sound:googletts-731dfa5a-f644dca2-a05e9694-aa7857be-d3263b35.mp3],CardType::Sentence
j.q4]rh~y8,Er der noget til mig?,Is there anything for me?,[ 1 28 41 8 19 ], [sound:googletts-78f89fda-fff53e66-3b004599-b378d603-34d2588b.mp3],CardType::Sentence
